Tube_code	individual	species	Population	latitude	longitude	type	Sex	Sample_type	time_point	Tube_type	host_reads	metagenomic_bases	host_bases	bases_lost_fastp_percent	bases_pre_filt	bases_post_filt
AC82	AH1_2nd_11	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	1_Acclimation	Lizards_Hologenomics	25763036	486642682	3918475379	0.038499886	4581505500	4405118061
AC83	AH1_2nd_19	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	1_Acclimation	Lizards_Hologenomics	4582093	2864154650	692548852	0.0386077	3699534000	3556703502
AC85	AH1_2nd_9	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	1_Acclimation	Lizards_Hologenomics	1024053	2323229169	135919709	0.233324396	3207548100	2459148878
AC86	AH1_2nd_15	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	1_Acclimation	Lizards_Hologenomics	14742971	3056943024	2197656780	0.101172831	5846062500	5254599804
AC87	AH1_2nd_6	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	1_Acclimation	Lizards_Hologenomics	9435184	3180059842	1405920167	0.075203354	4958906400	4585980009
AC89	AH1_2nd_10	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	1_Acclimation	Lizards_Hologenomics	3514976	4031995563	533915401	0.035477306	4733855400	4565910964
AC94	AH1_2nd_20	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	1_Acclimation	Lizards_Hologenomics	14175520	2058157137	2114611441	0.090204901	4586492700	4172768578
AC96	AH1_2nd_16	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	1_Acclimation	Lizards_Hologenomics	2641594	3775624019	390794857	0.05765142	4421313900	4166418876
AC97	LI1_2nd_7	Podarcis_liolepis	Hot_dry	42.85954	2.01326	Hot_control	Male	Faeces	1_Acclimation	Lizards_Hologenomics	1838539	3163482502	290120565	0.049055208	3631759800	3453603067
AD04	LI1_2nd_4	Podarcis_liolepis	Hot_dry	42.85954	2.01326	Hot_control	Male	Faeces	1_Acclimation	Lizards_Hologenomics	7147583	3544176101	1070134519	0.065546333	4937976900	4614310620
AD07	LI1_2nd_8	Podarcis_liolepis	Hot_dry	42.85954	2.01326	Hot_control	Male	Faeces	1_Acclimation	Lizards_Hologenomics	5732300	4114202583	906012629	0.055280132	5313972300	5020215212
AD10	AH1_2nd_9	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	2_Antibiotics	Lizards_Hologenomics	22635128	918552147	3342841064	0.066216289	4563576300	4261393211
AD13	AH1_2nd_15	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	2_Antibiotics	Lizards_Hologenomics	16031113	1632214563	2384350796	0.066311525	4301826000	4016565359
AD16	AH1_2nd_19	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	2_Antibiotics	Lizards_Hologenomics	33973350	430771580	5110719528	0.045308722	5804484900	5541491108
AD18	AH1_2nd_11	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	2_Antibiotics	Lizards_Hologenomics	34029784	717928276	5066061591	0.066259367	6194428800	5783989867
AD20	AH1_2nd_6	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	2_Antibiotics	Lizards_Hologenomics	29731616	550138283	4475979774	0.046080851	5268914100	5026118057
AD21	AH1_2nd_20	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	2_Antibiotics	Lizards_Hologenomics	21475406	1795687807	3234141579	0.044286404	5262904500	5029829386
AD23	AH1_2nd_10	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	2_Antibiotics	Lizards_Hologenomics	16915794	1017836380	2491605007	0.22418146	4523533800	3509441387
AD25	AH1_2nd_16	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	2_Antibiotics	Lizards_Hologenomics	13621	4956197	2031892	0.177746126	8498700	6988089
AD29	LI1_2nd_7	Podarcis_liolepis	Hot_dry	42.85954	2.01326	Hot_control	Male	Faeces	2_Antibiotics	Lizards_Hologenomics	14777598	676507245	2032800374	0.14612078	3172940100	2709307619
AD33	LI1_2nd_8	Podarcis_liolepis	Hot_dry	42.85954	2.01326	Hot_control	Male	Faeces	2_Antibiotics	Lizards_Hologenomics	12257663	3959692057	1916178838	0.054481443	6214442700	5875870895
AD34	LI1_2nd_4	Podarcis_liolepis	Hot_dry	42.85954	2.01326	Hot_control	Male	Faeces	2_Antibiotics	Lizards_Hologenomics	19659142	1289209597	3025392951	0.0675348	4627092300	4314602548
AD36	AH1_2nd_15	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	3_Transplant1	Lizards_Hologenomics	1996452	4170714045	301390604	0.075648284	4838098500	4472104649
AD38	AH1_2nd_9	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	3_Transplant1	Lizards_Hologenomics	184630	5375860194	27439863	0.037658011	5614740000	5403300057
AD44	AH1_2nd_19	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	3_Transplant1	Lizards_Hologenomics	2046330	3169847643	308963875	0.036594868	3610953900	3478811518
AD46	LI1_2nd_4	Podarcis_liolepis	Hot_dry	42.85954	2.01326	Hot_control	Male	Faeces	3_Transplant1	Lizards_Hologenomics	6077	4245463359	908377	0.037859228	4413462000	4246371736
AD47	AH1_2nd_6	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	3_Transplant1	Lizards_Hologenomics	479172	6078987310	73933692	0.033092758	6363507000	6152921002
AD49	AH1_2nd_10	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	3_Transplant1	Lizards_Hologenomics	2905	3524189762	415269	0.034350765	3649984800	3524605031
AD49_a	LI1_2nd_7	Podarcis_liolepis	Hot_dry	42.85954	2.01326	Hot_control	Male	Faeces	3_Transplant1	Lizards_Hologenomics	2905	3524189762	415269	0.034350765	3649984800	3524605031
AD50	AH1_2nd_11	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	3_Transplant1	Lizards_Hologenomics	189631	3706481532	29534101	0.033631917	3866037900	3736015633
AD51	AH1_2nd_20	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	3_Transplant1	Lizards_Hologenomics	96140	1744241666	14569874	0.03542469	1823405100	1758811540
AD52	LI1_2nd_8	Podarcis_liolepis	Hot_dry	42.85954	2.01326	Hot_control	Male	Faeces	3_Transplant1	Lizards_Hologenomics	1630716	3836550415	256522792	0.039043866	4259375700	4093073207
AD53	AH1_2nd_16	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	3_Transplant1	Lizards_Hologenomics	310601	4152405798	48366122	0.08359896	4583988600	4200771920
AD57	AH1_2nd_9	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	4_Transplant2	Lizards_Hologenomics	79174	1542948337	11392153	0.068933437	1669419300	1554340490
AD60	AH1_2nd_15	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	4_Transplant2	Lizards_Hologenomics	1656327	845463121	251900851	0.033310163	1135176900	1097363972
AD63	AH1_2nd_19	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	4_Transplant2	Lizards_Hologenomics	2572702	2128241301	388769386	0.043870366	2632499400	2517010687
AD65	LI1_2nd_4	Podarcis_liolepis	Hot_dry	42.85954	2.01326	Hot_control	Male	Faeces	4_Transplant2	Lizards_Hologenomics	54362	4675200589	7767656	0.031269832	4834130700	4682968245
AD66	AH1_2nd_6	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	4_Transplant2	Lizards_Hologenomics	326281	2414845929	50972025	0.038757293	2565239700	2465817954
AD68	AH1_2nd_10	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	4_Transplant2	Lizards_Hologenomics	6437	5962911876	947480	0.04108164	6219360900	5963859356
AD68_a	LI1_2nd_7	Podarcis_liolepis	Hot_dry	42.85954	2.01326	Hot_control	Male	Faeces	4_Transplant2	Lizards_Hologenomics	6437	5962911876	947480	0.04108164	6219360900	5963859356
AD69	AH1_2nd_11	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	4_Transplant2	Lizards_Hologenomics	444	2689034	57534	0.470275608	5184900	2746568
AD70	AH1_2nd_20	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	4_Transplant2	Lizards_Hologenomics	445181	4177270256	70483384	0.034501933	4399546500	4247753640
AD71	LI1_2nd_8	Podarcis_liolepis	Hot_dry	42.85954	2.01326	Hot_control	Male	Faeces	4_Transplant2	Lizards_Hologenomics	153074	1178614438	23950429	0.045158307	1259439000	1202564867
AD72	AH1_2nd_16	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	4_Transplant2	Lizards_Hologenomics	133811	3616144254	21029323	0.035944723	3772785300	3637173577
AD74	AH1_2nd_15	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	5_Post-FMT1	Lizards_Hologenomics	9703274	4529679991	1451848486	0.054535	6326546700	5981528477
AD75	AH1_2nd_6	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	5_Post-FMT1	Lizards_Hologenomics	10967582	3680757818	1657668764	0.041311851	5568470400	5338426582
AD76	AH1_2nd_16	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	5_Post-FMT1	Lizards_Hologenomics	2010567	12717084121	296554939	0.046333959	13645908000	13013639060
AD77	AH1_2nd_11	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	5_Post-FMT1	Lizards_Hologenomics	10667878	4461240407	1594581960	0.077184691	6562334100	6055822367
AD84	AH1_2nd_20	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	5_Post-FMT1	Lizards_Hologenomics	10144575	5409745451	1523373850	0.068193977	7440517800	6933119301
AD85	AH1_2nd_9	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	5_Post-FMT1	Lizards_Hologenomics	10541041	3187800202	1545169846	0.084897486	5172065400	4732970048
