Genome,AFV09,AD72,AD70,AD52,AFU87,AD33,AFV13,AE97,AD53,AD85,AFV12,AFV04,AD44,AD51,AD13,AD29,AD74,AD97,AFU92,AFV06,AC89,AC83,AD25,AD21,AFV08,AD18,AD84,AD46,AFU94,AD76,AC86,AE94,AFU99,AC85,AD65,AFU91,AFU98,AC94,AF07,AD38,AFV10,AFV05,AC82,AF01,AFV16,AF03,AC97,AD07,AD60,AFV15,AD34,AD49,AE99,AC87,AD47,AD98,AD04,AD10,AD63,AD66,AD91,AD94,AFU95,AFU97,AFV03,AD36,AFU93,AD16,AD86,AF10,AFU96,AD57,AE96,AF13,AFV11,AFV07,AD50,AFV14,AD69,AC96,AD20,AFU88,AD77,AFV17,AE08,AFV01,AD23,AD71,AD68,AE07,AFV02,AD75
AH1_2nd_10_bin.12,2464,355,374,675,71111,318,1737,672,509,2098,899,100,873,162,72,9,1170,38,1565,425,115585,5751,0,9,686,7,1595,82,1384,729,436,444,796,788,268,3364,124729,280,63,160,238,113,12,772,369,1007,185,16325,236,34049,6,881,200,513,17557,201,230,153,835,5707,312,403,453596,771098,19711,840,35163,7,2800,641,19404,430,287,245,549,61072,320,987,0,886955,0,7435,695,59,6770,368903,312,712,2963,1846,7963,1253
AH1_2nd_10_bin.14,267,2923,2961,5643,1282,23271,768,1482,3243,6257,3011,280,1656,1139,0,5198,1267,1380,373,1586,557,1023,6,120,1119,2,2691,519,2967,8073,866,1098,1412,1235,3040,839,831,1244,792,286,2065,1498,78,2837,3652,2655,137888,267395,272,37162,4,108315,3362,5898,4481,1727,2827,76,1177,1549,723,1725,132,544,1699,1188,592,2,1612,729,2568,286,1041,4015,3083,746,3506,1214002,0,1669,2,831,2382,154,1943,482,723,628,427820,834,411,3779
AH1_2nd_10_bin.21,10145,143425,521921,721078,2636,177911,1943,7336,145591,2716,96505,1053,2363,147484,220,1038,2273,34340,1249,7008,1176,602,10,301,93521,22,509615,11650,5146,2691935,1795,199991,5130,51,85724,1600,1725,1650,4338,1291,30115,2223,137,1440351,554531,1413536,8804,563132,953,50864,145,204906,1857055,445,621128,46289,1274030,85,1934,298058,75,2082872,694,568,4129,2843,1024,0,338,734691,6436,614,1125957,665946,43345,1757,74898,9242,0,2050,0,389,252268,1129,550,1802,75,8476,1988858,2608,688,147661
AH1_2nd_10_bin.24,3718,59697,167630,91183,3922,129239,6535,1066,65615,3245,52181,220,7105,70641,0,1029,489,11820,1020,559,218,3644,19,1123,64675,99,15367,3045,9356,71197,3586,7558,7961,2593,22840,3841,13827,8602,8274,725,68503,9098,416,1052,73001,23814,35878,662288,711,390280,47,517816,39108,2329,96696,26697,35600,637,3639,26339,3650,1072,148,586,9213,485,5306,16,709,1672,10571,2812,884,529587,86440,2927,66642,42511,0,1093,24,15469,5331,2270,190,194,3650,31521,609105,1665,263,1961
AH1_2nd_10_bin.28,653,3094,988,1930,2750,196,3610,1028,2595,2334,31129,138,1196,879,15,11,231,186,31579,2505,24499,461,0,29,18466,12,527,130,1180,1518,551,595,5922,648,319,37425,8226,1604,236,195,26151,1144,8,476,1864,743,354,2436,2097,31702,2,1766,1962,257,1977,418,1891,412,913,1319,0,851,48655,12369,15706,43941,13295,2,1229,349,6606,598,6422,932,9332,3323,1436,2529,0,2185,0,884,956,183,1204,12828,0,1755,3702,2788,109902,647
AH1_2nd_10_bin.31,495,1093,1133,1537,1225,371,118,4872,1291,1329,1218,272,1922,397,28,75,1073,1097,456,2098,474848,2221,2,310,456,1093,328,213,3600,3817,960,4843,25140,66,1466,1020,1060,1719,408,299,1586,1067,5881,5924,1812,2465,1917,1599,592,847,1,1313,621,148,16518,644,626,150,3791,15237,188,12214,319163,1162,2139,1921,560,24,5821,13982,484,386,4858,4012,1899,1452,2515,4339,0,3071,0,870,8437,71,4778,961,188,337,2311,2155,2505,46371
AH1_2nd_10_bin.32,5735,47738,30002,7607,346157,8503,1748,183655,40920,12545,39129,545,9806,13017,0,193,1079615,27531,10027,16850,2313643,290333,8,780,19580,23,45591,16031,17790,55322,1472,9862,7190,8273,34136,404,168224,17172,18067,9716,15720,187876,213,26459,10761,36344,5929,5673,63908,7806,11,15506,10193,5923,94790,26923,9795,19552,5504,42145,605,58252,105685,19836,7054,481986,5717,1296,1137,11612,866468,2875,7337,3514,21517,223353,24782,4863,0,3605,17,152171,30379,1165,407,6247,605,4639,13375,1803,97181,33719
AH1_2nd_10_bin.35,11673,29830,4212,3631,67883,1255,10271,2436,119155,1857,152408,5419,27235,2113,324,15,1320,26703,51242,15737,560,1198,0,92,11240,159,929,1479,43707,57108,3222,3161,4118,2134,8868,3140,7062,6941,14991,5714,175580,526,79,16398,20359,3860,3817,76106,4181,66063,22,54762,20893,837,46470,3720,14111,9123,14858,15225,712,1740,751,1356,84587,84426,8602,2,653,2892,7065,4848,301900,10447,47366,2921,54369,15346,0,11444,1,2049,2386,3954,1609,3721,712,5693,180093,10231,144919,21975
AH1_2nd_10_bin.37,894,1427,1041,2481,4036,225,1649,979,1737,4199,2129,289,988,814,454,8,606,762,14701,923,213898,4588,4,28,3344,494,497,139,1801,3579,318,990,3684,6386,534,3060,4518,1173,380,351,1382,256,151,1549,1779,2578,378,1243,1342,1679,1,585,1352,1808,1125,325,1167,5558,1472,788,204,1666,177751,7273,4586,2620,1976,9,3527,597,1325,3760,1731,2351,1146,2369,813,939,0,23639,2,1136,1003,131,3287,12541,204,291,1317,3565,6061,1661
AH1_2nd_10_bin.48,1166,5678,8934,24453,23178,672,4946,23410,5197,27714,3004,4372,5713,2833,4225,67,16184,7361,6329,20360,832,4596,15,62,2967,470,1440,2944,8096,36173,6243,16163,13872,691,38489,22840,15331,2458,11379,2418,1247,6122,302,5458,10901,5193,3153,3601,4290,881,21,3823,3688,7549,4018,24728,7978,446,8077,1445,707,2357,1354,2483,16329,6345,5332,29,18385,4337,19990,11611,220573,82216,10572,5845,10405,2954,0,5329,15,1535,38862,4891,10172,8813,707,998,4379,9141,2554,41927
