Genome,AFV09,AD72,AD70,AD52,AFU87,AD33,AFV13,AE97,AD53,AD85,AFV12,AFV04,AD44,AD51,AD13,AD29,AD74,AD97,AFU92,AFV06,AC89,AC83,AD25,AD21,AFV08,AD18,AD84,AD46,AFU94,AD76,AC86,AE94,AFU99,AC85,AD65,AFU91,AFU98,AC94,AF07,AD38,AFV10,AFV05,AC82,AF01,AFV16,AF03,AC97,AD07,AD60,AFV15,AD34,AD49,AE99,AC87,AD47,AD98,AD04,AD10,AD63,AD66,AD91,AD94,AFU95,AFU97,AFV03,AD36,AFU93,AD16,AD86,AF10,AFU96,AD57,AE96,AF13,AFV11,AFV07,AD50,AFV14,AD69,AC96,AD20,AFU88,AD77,AFV17,AE08,AFV01,AD23,AD71,AD68,AE07,AFV02,AD75
AH1_2nd_10_bin.12,0.038110778,0.004063659,0.003301425,0.013042132,0.76688504,0.005336229,0.009607472,0.001839412,0.003889086,0.002732204,0.009628885,0.00179391,0.011864432,0.002108856,0.000139183,0.000181413,0.000800895,0.000768479,0.030682052,0.002113317,0.96917164,0.1622436,0,0.000253086,0.003529531,0.000119257,0.001600898,0.001308853,0.022153245,0.003917933,0.00038989,0.005707383,0.017401703,0.0009719,0.002995402,0.017810626,0.88397515,0.002470196,0.001201789,0.001122681,0.000862457,0.000365801,0.000477325,0.011204802,0.006394077,0.006496382,0.002439563,0.36136377,0.004301578,0.4852896,8.11899E-05,0.02438106,0.002863952,0.000734575,0.3858772,0.001487589,0.002387221,0.002798226,0.017179843,0.15506588,0.000435689,0.003407002,0.9995072,0.9222266,0.20272316,0.00943736,0.457448,0.00023554,0.011917072,0.003045067,0.41620177,0.004815781,0.002466329,0.001073313,0.003567597,0.7756238,0.003048934,0.00528924,0,0.9104169,0,0.14201424,0.001736215,0.00125651,0.12751098,0.914888,0.000435689,0.020403648,0.0748217,0.00647259,0.12901194,0.003680609
AH1_2nd_10_bin.14,0.003817696,0.017760238,0.020760218,0.018262953,0.007220905,0.15890884,0.002664989,0.00237618,0.018338313,0.005594662,0.018015042,0.002179276,0.006690619,0.013258545,0,0.085679665,0.002551028,0.002956325,0.003569325,0.005233938,0.002945297,0.005530329,0.000122922,0.001980763,0.013618579,4.59521E-05,0.001913214,0.003662608,0.008342135,0.020177545,0.000774981,0.008517901,0.006098756,0.00127494,0.01180646,0.003042256,0.00642984,0.00785872,0.00256803,0.002496345,0.006499917,0.002737823,0.001455072,0.012414865,0.018769115,0.013632825,0.91718614,0.99378866,0.003870541,0.4493173,5.5602E-05,0.92665434,0.013252801,0.005449453,0.022689743,0.007229866,0.013169628,0.001152707,0.00578858,0.016164782,0.00071892,0.004184623,0.001736528,0.004968565,0.007423554,0.005665428,0.003566568,4.22759E-05,0.002410415,0.005490581,0.006732435,0.00304731,0.004135225,0.012546518,0.013831797,0.005007854,0.014391263,0.9818501,0,0.005589837,6.89281E-05,0.007175642,0.003705344,0.00266453,0.002675328,0.002843743,0.00071892,0.010454321,0.99936175,0.004330062,0.003680529,0.008746513
AH1_2nd_10_bin.21,0.13107678,0.88745075,0.98216987,0.987766,0.011032615,0.8152211,0.008407506,0.004207969,0.87414473,0.002836157,0.796129,0.004481921,0.005301499,0.95222133,0.000353038,0.02014825,0.002997748,0.009421949,0.005745019,0.00864841,0.003930599,0.00609008,0.000145865,0.003206973,0.86948436,0.000146776,0.31000173,0.15513398,0.006268081,0.9244364,0.001357454,0.9651324,0.010914556,9.48121E-05,0.7662782,0.002845957,0.007899715,0.006586932,0.010698265,0.005546506,0.08442331,0.004932279,0.002198683,0.9916857,0.9888181,0.9810845,0.1256121,0.99753374,0.006501692,0.5194211,0.002333608,0.9840303,0.91827816,0.000450357,0.9929495,0.24109547,0.94928443,0.001698412,0.016222209,0.9733043,9.43562E-05,0.9826214,0.003037177,0.00512008,0.010695986,0.008250246,0.005437108,0,0.001300247,0.91182935,0.009027431,0.004817866,0.98597854,0.91623443,0.57519656,0.006050651,0.7806026,0.11095109,0,0.004409445,0,0.00385402,0.38482463,0.018033437,0.00255947,0.004896952,9.43562E-05,0.15112087,0.99973494,0.005107544,0.005259791,0.38371697
AH1_2nd_10_bin.24,0.04977225,0.45608723,0.8758069,0.57491946,0.060268376,0.69751126,0.034111243,0.001173549,0.4572608,0.004356207,0.43104842,0.001423286,0.05828784,0.72128886,0,0.018745257,0.001001697,0.003230488,0.01754504,0.001673234,0.001855245,0.048956588,0.000344763,0.022580404,0.6782138,0.001084449,0.016533185,0.053142212,0.06567094,0.51442057,0.00310943,0.1191577,0.06536702,0.004136735,0.17406796,0.04134894,0.08900521,0.061269864,0.002540539,0.01158142,0.2087864,0.02938318,0.008249767,0.004944146,0.53190595,0.29587796,0.4160198,0.9936455,0.015020163,0.98002213,0.000636193,0.99324757,0.36172795,0.003441071,0.3905634,0.17781444,0.29893765,0.009863953,0.043423235,0.2589051,0.00318033,0.005137797,0.001673657,0.010652739,0.070073284,0.007279393,0.051605277,0.000264763,0.000614606,0.022504425,0.07211075,0.032596316,0.004367212,0.9498644,0.38692847,0.042142805,0.35655543,0.4134147,0,0.005638117,0.000310477,0.129744,0.011498457,0.045007367,0.000512383,0.001822441,0.00318033,0.49402517,0.9959835,0.021072038,0.004621182,0.003514934
AH1_2nd_10_bin.28,0.012433513,0.11599448,0.033757653,0.07479526,0.074111655,0.004176381,0.030074036,0.020396657,0.09268885,0.003694892,0.51289684,0.005187799,0.029191237,0.03433978,6.26395E-05,0.000240535,0.001037309,0.004294143,0.53471375,0.089178115,0.6278231,0.012507428,0,0.001144632,0.31410342,0.000230931,0.000950449,0.00312195,0.029785894,0.039319202,0.000623889,0.015453152,0.20563613,0.001165094,0.006919989,0.68503004,0.24274583,0.02425316,0.006570043,0.005506008,0.17541134,0.006941704,0.000411332,0.010061566,0.07221661,0.01703793,0.013662499,0.08569286,0.090851426,0.41481057,0.000125279,0.06266743,0.07914787,0.000714507,0.070494436,0.003067245,0.044334117,0.012051413,0.025505532,0.0501884,0,0.023824707,0.8110731,0.16725443,0.38182503,0.7601005,0.36530617,2.7979E-05,0.012020511,0.010829109,0.21707326,0.018384678,0.19826597,0.006576725,0.22723964,0.064311504,0.05030741,0.09979926,0,0.01954685,0,0.03226224,0.002817105,0.007100391,0.007259077,0.16592647,0,0.073067665,0.12543467,0.07182532,0.913193,0.003175403
AH1_2nd_10_bin.31,0.006528692,0.007898332,0.008553818,0.012794286,0.006447236,0.002546808,0.000507918,0.00335731,0.007901039,0.000954686,0.007974372,0.003465392,0.011933466,0.004609842,4.55794E-05,0.001301045,0.002350501,0.001540676,0.002395403,0.026237516,0.99002534,0.026418028,3.38461E-05,0.004470396,0.005193124,0.008146762,0.000388328,0.001942542,0.015260992,0.014972397,0.000884963,0.09267069,0.42350912,0.000103118,0.00329571,0.002406234,0.003781289,0.008661901,0.001349332,0.001429209,0.004802314,0.002841269,0.13736811,0.103568465,0.012642882,0.014994284,0.03133948,0.018956764,0.006696343,0.005027729,3.38461E-05,0.007404404,0.00580777,0.000159528,0.31780925,0.002256634,0.003555423,0.001896737,0.015458427,0.30620092,0.000181641,0.20956393,0.9884817,0.009636443,0.003492469,0.014561505,0.0034241,0.000620512,0.013160952,0.20643,0.001470501,0.00150006,0.019254157,0.02414357,0.012366923,0.013701814,0.011136503,0.06653065,0,0.009290761,0,0.010065838,0.014715844,0.000995076,0.015238654,0.004617514,0.000181641,0.002534849,0.014043885,0.003246746,0.013006163,0.15560913
AH1_2nd_10_bin.32,0.069846004,0.070988044,0.32543302,0.050659034,0.8840939,0.067235135,0.006717145,0.8556567,0.07036008,0.011229566,0.069609694,0.003680094,0.016803874,0.1788189,0,0.003098557,0.84336483,0.038589407,0.0384404,0.050542966,0.98216164,0.90111977,0.000176386,0.01572413,0.26036292,0.000228964,0.030055428,0.03707336,0.019190935,0.069544226,0.001175178,0.05551193,0.03846778,0.006760795,0.054585755,0.001290454,0.85900563,0.11110976,0.033899806,0.035714652,0.03215797,0.3583501,0.003361251,0.19643843,0.05604664,0.32888612,0.03265915,0.030300066,0.6890366,0.03295379,0.000116268,0.044893265,0.049365804,0.005031261,0.69405377,0.033437513,0.04224569,0.30515102,0.016193764,0.5094566,0.000595823,0.033872027,0.8505008,0.3351763,0.026647551,0.88625777,0.04015188,0.021261137,0.001076569,0.03604203,0.8880422,0.01723819,0.03597318,0.016075712,0.051581837,0.8738131,0.059007104,0.0338879,0,0.012287484,0.000315272,0.84609795,0.032901607,0.01646757,0.001273589,0.028720729,0.000595823,0.051910404,0.043167897,0.009883359,0.772898,0.033511914
AH1_2nd_10_bin.35,0.17168762,0.5479446,0.100581884,0.084674574,0.6464947,0.013765679,0.04995816,0.05753924,0.91183186,0.002587454,0.9451291,0.12384658,0.4278875,0.05586214,0.000599699,0.000401293,0.001370666,0.5026597,0.54545146,0.2987896,0.013506407,0.017503787,0,0.002354267,0.24750029,0.001808583,0.001257893,0.023057064,0.52243656,0.6048554,0.003505447,0.07565195,0.101899326,0.00349807,0.20398073,0.05772105,0.16626108,0.080102794,0.32569385,0.1087105,0.5109227,0.002118182,0.002325811,0.29588673,0.423419,0.07701287,0.099176176,0.82864124,0.10608009,0.69914544,0.000373099,0.75359213,0.4278598,0.001290038,0.65018433,0.023738444,0.19640175,0.18200053,0.29445705,0.3348092,0.00075463,0.011950245,0.014750071,0.034297474,0.43261155,0.6373082,0.20232892,2.34505E-05,0.007289665,0.04550863,0.16849466,0.11424586,0.9842679,0.08752868,0.68579346,0.07451183,0.7324451,0.32935476,0,0.06434936,3.95232E-05,0.05411811,0.005629162,0.101059854,0.016069619,0.06022761,0.00075463,0.1491894,0.96313614,0.2316931,0.70547205,0.106138065
AH1_2nd_10_bin.37,0.009476201,0.013921433,0.016147818,0.027058477,0.09330655,0.001922212,0.006615629,0.010432058,0.01800462,0.004021813,0.01907434,0.004860577,0.017742708,0.014838529,0.000472141,0.00020673,0.001571202,0.004194896,0.31927076,0.012073246,0.9923957,0.12226732,0.000122746,0.000814807,0.03473279,0.005070537,0.000698252,0.001838497,0.021793593,0.018704487,0.000247376,0.013234756,0.088253245,0.007084001,0.006285614,0.022593325,0.10833835,0.011996799,0.005436353,0.008441205,0.0043774,0.000935938,0.00454133,0.012142964,0.022288075,0.018074067,0.006464619,0.015785234,0.023959681,0.014914168,4.03769E-05,0.009396254,0.01707272,0.001712521,0.017267337,0.002335403,0.011532195,0.12596989,0.024942726,0.014215916,0.00021642,0.011312544,0.9880091,0.18346801,0.08903144,0.03582943,0.025966953,0.000232033,0.013205954,0.007431243,0.01575347,0.083102755,0.020776363,0.012044982,0.010828828,0.057155725,0.009057088,0.014022375,0,0.11183984,8.04847E-05,0.03092013,0.002251688,0.003236885,0.011714699,0.19618756,0.00021642,0.00489907,0.015342971,0.0141427,0.06951753,0.004804049
AH1_2nd_10_bin.48,0.013543814,0.112758406,0.18130192,0.4535984,0.33901614,0.007139212,0.028655825,0.26285282,0.08812111,0.04821841,0.04170005,0.08095915,0.09841337,0.06686179,0.00902663,0.001032252,0.081982486,0.11970716,0.11117895,0.29678813,0.010865497,0.04421184,0.000404832,0.000721943,0.053480525,0.004735082,0.001818461,0.06354902,0.12129225,0.31616893,0.007531378,0.2703549,0.24279253,0.001302921,0.59846216,0.3343329,0.2665172,0.024057252,0.18702187,0.051163647,0.00658849,0.024382338,0.007011148,0.103648745,0.24176028,0.094336666,0.07093568,0.0759663,0.09918949,0.008989805,0.000207811,0.08710504,0.08036011,0.011720663,0.08888551,0.18714501,0.11447483,0.008608663,0.11839298,0.03416117,0.000699661,0.019771803,0.014767927,0.043801848,0.2516008,0.12720078,0.099029996,0.000298347,0.18701695,0.070959605,0.29200402,0.19900969,0.9851683,0.5048434,0.1828408,0.10570222,0.19317527,0.058257826,0,0.02828477,0.000246277,0.03657515,0.12354157,0.115573,0.14045633,0.04387737,0.000699661,0.026216045,0.095814094,0.13439205,0.047401007,0.18041416
