Cage	Individual	Type	Value	Value	Value	Value	Value	Mean value	Date	Weight	time_point	normalized
Cold_5		Control	1.07	1.05	1.04	1.03	1.02	1.042	01/08/2023	4.54	0	0.229515419
Cold 4		Treatment	0.99	1.01	0.99	1	0.99	0.996	01/08/2023	4.14	0	0.24057971
Cold 14		Treatment	0.85	0.84	0.84	0.84	0.85	0.844	01/08/2023	3.91	0	0.215856777
cold 3		Treatment	0.92	0.91	0.9	0.95	0.92	0.92	01/08/2023	5.37	0	0.17132216
cold 9		Control	1.04	1.06	1.04	1.03	1.03	1.04	01/08/2023	6.25	0	0.1664
cold 1		Treatment	0.9	0.9	0.89	0.87	0.87	0.886	01/08/2023	3.53	0	0.250991501
cold 18		Control	1	1	0.99	0.96	0.96	0.982	01/08/2023	5.88	0	0.167006803
cold 11		Control	0.9	0.89	0.87	0.87	0.87	0.88	01/08/2023	4.34	0	0.202764977
cold 13		Control	0.97	0.97	0.96	0.96	0.95	0.962	01/08/2023	4.72	0	0.203813559
cold 8		Control	1	0.99	1	0.99	0.97	0.99	01/08/2023	6.19	0	0.15993538
cold 16		Control	0.79	0.79	0.78	0.8	0.8	0.792	01/08/2023	3.54	0	0.223728814
cold 6		Treatment	0.89	0.9	0.88	0.9	0.9	0.894	01/08/2023	4.55	0	0.196483516
cold 2		Treatment	0.91	0.91	0.9	0.91	0.92	0.91	01/08/2023	5.86	0	0.155290102
cold 7		Control	0.91	0.9	0.91	0.9	0.92	0.908	01/08/2023	4.92	0	0.184552846
cold 15		Treatment	0.9	0.9	0.9	0.89	0.89	0.896	01/08/2023	5.03	0	0.178131213
cold 10		Control	1	0.99	0.98	0.98	0.97	0.984	01/08/2023	6.66	0	0.147747748
cold 12		Treatment	0.85	0.83	0.83	0.82	0.83	0.832	01/08/2023	3.75	0	0.221866667
cold 17		Treatment	1.06	1.05	1.05	1.02	1	1.036	01/08/2023	5.09	0	0.203536346
hot 5		Hot_control	0.99	1.01	1	0.98	0.97	0.99	01/08/2023	6.14	0	0.161237785
hot 4		Hot_control	0.86	0.86	0.86	0.85	0.81	0.848	01/08/2023	4.59	0	0.184749455
hot 9		Hot_control	0.96	0.95	0.96	0.97	0.97	0.962	01/08/2023	4.89	0	0.196728016
hot 10		Hot_control	0.71	0.71	0.7	0.69	0.68	0.698	01/08/2023	3.02	0	0.231125828
hot 8		Hot_control	0.93	0.91	0.93	0.91	0.91	0.918	01/08/2023	5.47	0	0.167824497
hot 3		Hot_control	0.89	0.88	0.88	0.87	0.85	0.874	01/08/2023	4.13	0	0.211622276
hot 2		Hot_control	0.95	0.95	0.94	0.92	0.93	0.938	01/08/2023	5.74	0	0.163414634
hot 1		Hot_control	0.92	0.89	0.88	0.89	0.88	0.892	01/08/2023	5.61	0	0.159001783
hot 7		Hot_control	0.99	1	0.98	0.97	0.96	0.98	01/08/2023	5.14	0	0.190661479
hot 6		Hot_control	0.76	0.76	0.75	0.75	0.74	0.752	01/08/2023	3.11	0	0.241800643
cold 3		Treatment	1.41	1.4	1.42	1.39	1.44	1.412	02/08/2023	5.37	1	0.262942272
cold 14		Treatment	1.17	1.16	1.14	1.14	1.13	1.148	02/08/2023	3.91	1	0.293606138
cold 4		Treatment	1.3	1.31	1.31	1.28	1.28	1.296	02/08/2023	4.14	1	0.313043478
cold 5		Control	1.37	1.37	1.39	1.4	1.37	1.38	02/08/2023	4.54	1	0.303964758
cold 9		Control	1.38	1.36	1.36	1.35	1.35	1.36	02/08/2023	6.25	1	0.2176
cold 1		Treatment	1.35	1.36	1.35	1.36	1.35	1.354	02/08/2023	3.53	1	0.383569405
cold 18		Control	1.23	1.22	1.2	1.21	1.22	1.216	02/08/2023	5.88	1	0.206802721
cold 11		Control	1.34	1.32	1.32	1.34	1.32	1.328	02/08/2023	4.34	1	0.305990783
cold 6		Treatment	1.27	1.27	1.26	1.25	1.25	1.26	02/08/2023	4.55	1	0.276923077
cold 16		Control	1.02	1.01	1.01	1	1	1.008	02/08/2023	3.54	1	0.284745763
cold 8		Control	1.27	1.29	1.26	1.25	1.25	1.264	02/08/2023	6.19	1	0.204200323
cold 13		Control	1.4	1.4	1.42	1.4	1.41	1.406	02/08/2023	4.72	1	0.297881356
cold 2		Treatment	1.4	1.38	1.4	1.41	1.36	1.39	02/08/2023	5.86	1	0.237201365
cold 7		Control	1.4	1.4	1.41	1.39	1.37	1.394	02/08/2023	4.92	1	0.283333333
cold 15		Treatment	1.33	1.32	1.32	1.31	1.31	1.318	02/08/2023	5.03	1	0.262027833
cold 10		Control	1.4	1.4	1.4	1.39	1.41	1.4	02/08/2023	6.66	1	0.21021021
cold 12		Treatment	1.17	1.16	1.17	1.17	1.16	1.166	02/08/2023	3.75	1	0.310933333
cold 17		Treatment	1.39	1.37	1.36	1.36	1.35	1.366	02/08/2023	5.09	1	0.268369352
hot 10		Hot_control	1.06	1.05	1.06	1.05	1.07	1.058	02/08/2023	3.02	1	0.350331126
hot 9		Hot_control	1.39	1.4	1.4	1.38	1.4	1.394	02/08/2023	4.89	1	0.285071575
hot 4		Hot_control	1.26	1.26	1.25	1.24	1.25	1.252	02/08/2023	4.59	1	0.272766885
hot 5		Hot_control	1.46	1.44	1.45	1.46	1.45	1.452	02/08/2023	6.14	1	0.236482085
hot 1		Hot_control	1.7	1.71	1.71	1.7	1.69	1.702	02/08/2023	5.61	1	0.303386809
hot 2		Hot_control	1.62	1.61	1.6	1.6	1.59	1.604	02/08/2023	5.74	1	0.279442509
hot 3		Hot_control	1.46	1.47	1.48	1.46	1.46	1.466	02/08/2023	4.13	1	0.35496368
hot 8		Hot_control	1.36	1.35	1.35	1.36	1.34	1.352	02/08/2023	5.47	1	0.247166362
hot 6		Hot_control	1.24	1.24	1.23	1.23	1.2	1.228	02/08/2023	3.11	1	0.394855305
hot 7		Hot_control	1.42	1.4	1.4	1.39	1.41	1.404	02/08/2023	5.14	1	0.273151751
